sID,pID,per,E_per,e_per,rad,E_rad,e_rad,axis,E_axis,e_axis,koi_disposition,koi_pdisposition,reliability,comp,avg_comp,mdwarf_comp,new_comp
11446443,K00001.01,2.470613377,2.7e-08,-2.7e-08,14.205767092533073,0.2953573563145539,-0.3050346580884326,0.0355002106106175,0.0008456854815548,-0.0008197275613475,CONFIRMED,CANDIDATE,0.9901,0.1322206721933781,0.1277573026104053,0.0719689681835297,0.1317929537211006
10666592,K00002.01,2.204735417,4.3e-08,-4.3e-08,16.42669249095483,0.3442009734846287,-0.3185981562930884,0.0380714507612,0.0005319787184557,-0.0005976774398173,CONFIRMED,CANDIDATE,0.9999962,0.2128620384645598,0.1359242514615039,0.0765846537502213,0.2127054739157958
10748390,K00003.01,4.887803076,4.66e-07,-4.66e-07,4.8809208867737865,0.0718631175782009,-0.0674304592871601,0.0515365532214163,0.0005862975449086,-0.0003614372163438,CONFIRMED,CANDIDATE,0.9999999999973,0.0570968104523728,0.0815391528056581,0.0464649958671987,0.056974080569361416
3861595,K00004.01,3.849371737,2.344e-06,-2.344e-06,13.031438647533516,0.4809912691840026,-0.6543017611456889,0.0582198303647202,0.0007345966156549,-0.0015513306521014,CANDIDATE,CANDIDATE,0.972,0.2162979100517763,0.0952969441079576,0.0531784870665265,0.21569266866993644
6922244,K00010.01,3.522498429,1.98e-07,-1.98e-07,15.550351588098202,0.3741591182232344,-0.3674387216056907,0.0489481373891097,0.0007308881670894,-0.0007340232312166,CONFIRMED,CANDIDATE,0.99937,0.1297750688669437,0.1007244773690017,0.0561213626379589,0.1294650878831244
5812701,K00012.01,17.855221681,3.676e-06,-3.676e-06,14.335765918374689,0.3059749507748233,-0.2879383741047085,0.1508688067759783,0.0016324303771041,-0.0022140003545202,CONFIRMED,CANDIDATE,0.99999947,0.0405716359465138,0.033940025884214,0.0177645248657126,0.040468913608880566
9941662,K00013.01,1.763587535,4.2e-08,-4.2e-08,17.379962284754974,1.0699654115553372,-0.9231346157133836,0.0370135993196696,0.0005962662467204,-0.0006115619900628,CONFIRMED,CANDIDATE,0.85,0.199820575953437,0.1597711488843441,0.0905961572282411,0.1991964858880055
10874614,K00017.01,3.234699282,1.19e-07,-1.19e-07,12.756568882923824,0.2927635416098706,-0.3046130782536931,0.0444680100364472,0.0006654992655608,-0.0008607312044133,CONFIRMED,CANDIDATE,0.99948,0.1253372439428509,0.1058804527229513,0.0593624168869605,0.12519243122802945
8191672,K00018.01,3.548465446,1.83e-07,-1.83e-07,14.879479438083068,0.4297462732161072,-0.3935603580078819,0.050430762044961,0.0007485169663208,-0.0006778083225842,CONFIRMED,CANDIDATE,0.99964,0.1425713623883279,0.1003252938949777,0.0559261976129934,0.1420812131663895
9631995,K00022.01,7.891448838,5.06e-07,-5.06e-07,12.808927259249234,0.2682528749053947,-0.2761924405860831,0.0818408684029691,0.0013299565955021,-0.0015490672603411,CONFIRMED,CANDIDATE,0.9954,0.0635565926454194,0.0590973168008368,0.0322105662990377,0.06330027034691434
